"ecoregion","TAXA","value"
"NT1313","Mammals",0.0143296661169943
"NT1314","Mammals",0.00867116341412878
"NT1315","Mammals",0.06889662758235
"NT1316","Mammals",0.0168973056282679
"NT1318","Mammals",0
"NT1401","Mammals",0.00525440314209269
"NT1402","Mammals",0.0285893082577587
"NT1403","Mammals",0.005732409760874
"NT1404","Mammals",0.00211256052070214
"NT1405","Mammals",0.00384642642744526
"NT1406","Mammals",0.00840022758672139
"NT1407","Mammals",0.00200635078789874
"OC0103","Mammals",0.000151398001851745
"OC0105","Mammals",0.217622623271679
"OC0106","Mammals",0.0036366536330863
"OC0108","Mammals",0
"OC0109","Mammals",0.0531702886752386
"OC0110","Mammals",0.144495542318206
"OC0112","Mammals",0.0136457172299098
"OC0114","Mammals",0.00086076126286476
"OC0115","Mammals",0
"OC0117","Mammals",0
"OC0201","Mammals",0.0703097921125203
"OC0202","Mammals",0.00683386563877595
"OC0203","Mammals",0.124009989641611
"OC0701","Mammals",9.29536167177859e-05
"OC0702","Mammals",0.00386352221327988
"PA0101","Mammals",0.0310736109679643
"PA0102","Mammals",0.0204265956952504
"PA0401","Mammals",0.00360888515755187
"PA0402","Mammals",0.0183357194179408
"PA0403","Mammals",0.498157044301243
"PA0404","Mammals",0.0300777075868237
"PA0405","Mammals",0.00252785306749931
"PA0406","Mammals",0.0199357590296886
"PA0407","Mammals",0.0233319398611513
"PA0408","Mammals",0.0610315104194728
"PA0409","Mammals",0.00478103407565497
"PA0410","Mammals",0.0283469569909774
"PA0411","Mammals",0.0170759666587808
"PA0412","Mammals",0.0241659570203485
"PA0413","Mammals",0.0157627412458214
"PA0414","Mammals",0.0100779710995557
"PA0415","Mammals",0.037806314291018
"PA0416","Mammals",0.00279783159005737
"PA0417","Mammals",0.0272305983709861
"PA0418","Mammals",0.0116354496097208
"PA0419","Mammals",0.0177026007348633
"PA0420","Mammals",0.00850191960892232
"PA0421","Mammals",0.00143994311104598
"PA0422","Mammals",0.00517729852966037
"PA0423","Mammals",0.00433892225638056
"PA0424","Mammals",0.0211943921157221
"PA0425","Mammals",0.024637840163969
"PA0426","Mammals",0.0312761858517905
"PA0427","Mammals",0.0269414460232084
"PA0428","Mammals",0.0456312801316391
"PA0429","Mammals",0.000722730194488452
"PA0430","Mammals",0.00783993629783114
"PA0431","Mammals",0.0146050310406603
"PA0432","Mammals",0.00898375387665651
"PA0433","Mammals",0.00563781213181593
"PA0434","Mammals",0.0301318962764889
"PA0435","Mammals",0.0025613252985231
"PA0436","Mammals",0.01355858798177
"PA0437","Mammals",0.00848602177278315
"PA0438","Mammals",0.00200544124914497
"PA0439","Mammals",0.00167928290489709
"PA0440","Mammals",0.0503687587220486
"PA0441","Mammals",0.034050280260642
"PA0442","Mammals",0.00468138909864581
"PA0443","Mammals",0.0183640310159388
"PA0444","Mammals",0.00304207234455692
"PA0445","Mammals",0.0209537540145576
"PA0446","Mammals",0.0577343052968018
"PA0501","Mammals",0.031520891737149
"PA0502","Mammals",0.00584700705656904
"PA0503","Mammals",0.000616922303718296
"PA0504","Mammals",0.00942444253803629
"PA0505","Mammals",0.0059572412286827
"PA0506","Mammals",0.00857024666278225
"PA0507","Mammals",0.0141061445889547
