"TAXA","ecoregions","allLUType","value"
"Amphibians","AA0408","CurC",0.413440210495114
"Amphibians","AA0408","CurC_L",0.949880057665728
"Amphibians","AA0408","CurC_M",0.641921758490965
"Amphibians","AA0408","CurNC",0.413440210495114
"Amphibians","AA0408","CurNC_L",0.949880057665728
"Amphibians","AA0408","CurNC_M",0.641921758490965
"Amphibians","AA0408","PriFor",1
"Amphibians","AA0409","Cur0",1
"Amphibians","AA0409","CurC",0.413440210495114
"Amphibians","AA0409","CurC_L",0.949880057665728
"Amphibians","AA0409","CurC_M",0.641921758490965
"Amphibians","AA0409","CurNC",0.413440210495114
"Amphibians","AA0409","CurNC_L",0.949880057665728
"Amphibians","AA0409","CurNC_M",0.641921758490965
"Amphibians","AA0409","PriFor",1
"Amphibians","AA0410","Cur0",1
"Amphibians","AA0410","CurC",0.413440210495114
"Amphibians","AA0410","CurC_L",0.949880057665728
"Amphibians","AA0410","CurC_M",0.641921758490965
"Amphibians","AA0410","CurNC",0.413440210495114
"Amphibians","AA0410","CurNC_L",0.949880057665728
"Amphibians","AA0410","CurNC_M",0.641921758490965
"Amphibians","AA0410","PriFor",1
"Amphibians","AA0411","Cur0",1
"Amphibians","AA0411","CurC",0.413440210495114
"Amphibians","AA0411","CurC_L",0.949880057665728
"Amphibians","AA0411","CurC_M",0.641921758490965
"Amphibians","AA0411","CurNC",0.413440210495114
"Amphibians","AA0411","CurNC_L",0.949880057665728
"Amphibians","AA0411","CurNC_M",0.641921758490965
"Amphibians","AA0411","PriFor",1
"Amphibians","AA0412","Cur0",1
"Amphibians","AA0412","CurC",0.413440210495114
"Amphibians","AA0412","CurC_L",0.949880057665728
"Amphibians","AA0412","CurC_M",0.641921758490965
"Amphibians","AA0412","CurNC",0.413440210495114
"Amphibians","AA0412","CurNC_L",0.949880057665728
"Amphibians","AA0412","CurNC_M",0.641921758490965
"Amphibians","AA0412","PriFor",1
"Amphibians","AA0413","Cur0",1
"Amphibians","AA0413","CurC",0.413440210495114
"Amphibians","AA0413","CurC_L",0.949880057665728
"Amphibians","AA0413","CurC_M",0.641921758490965
"Amphibians","AA0413","CurNC",0.413440210495114
"Amphibians","AA0413","CurNC_L",0.949880057665728
"Amphibians","AA0413","CurNC_M",0.641921758490965
"Amphibians","AA0413","PriFor",1
"Amphibians","AA0414","Cur0",1
"Amphibians","AA0414","CurC",0.413440210495114
"Amphibians","AA0414","CurC_L",0.949880057665728
"Amphibians","AA0414","CurC_M",0.641921758490965
"Amphibians","AA0414","CurNC",0.413440210495114
"Amphibians","AA0414","CurNC_L",0.949880057665728
"Amphibians","AA0414","CurNC_M",0.641921758490965
"Amphibians","AA0414","PriFor",1
"Amphibians","AA0701","Cur0",1
"Amphibians","AA0701","CurC",0.413440210495114
"Amphibians","AA0701","CurC_L",0.949880057665728
"Amphibians","AA0701","CurC_M",0.641921758490965
"Amphibians","AA0701","CurNC",0.413440210495114
"Amphibians","AA0701","CurNC_L",0.949880057665728
"Amphibians","AA0701","CurNC_M",0.641921758490965
"Amphibians","AA0701","PriFor",1
"Amphibians","AA0702","Cur0",1
"Amphibians","AA0702","CurC",0.413440210495114
"Amphibians","AA0702","CurC_L",0.949880057665728
"Amphibians","AA0702","CurC_M",0.641921758490965
"Amphibians","AA0702","CurNC",0.413440210495114
"Amphibians","AA0702","CurNC_L",0.949880057665728
